URL,Reference,Description,Sizes,Inventory,Image,Color
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/leopard-print-flared-dress_77054073,77054073,Fluid fabric. Short design. A-line design. Animal print. Leopard print. Round neck. Long sleeves. Long sleeves with elastic cuffs. Bow fastening on the neck. Inner lining.,"0, 2, 4, 6, 8, 10, 12","Not Available, Available, Available, Available, Last Few Items, Not Available, Not Available",,Brown
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/linen-dress-with-contrasting-details_77010365,77010365,100% linen fabric. Short design. Straight design. Strapless. Sleeveless. Thin Straps. Back zipper closure. Contrast detail. Scalloped edges.,"2, 4, 6, 8, 10","Not Available, Available, Not Available, Available, Available",,Sand
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/linen-dress-with-draped-collar_87010591,87010591,Linen blend fabric. Lightweight fabric. Straight design. Short design. Round neck. Draped neckline. Short sleeve. Back closure. Unlined.,"2, 4, 6, 8, 10","Available, Available, Available, Not Available, Not Available",,Red
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/mini-crochet-dress-with-bow_87059205,87059205,Medium knit fabric. Crochet design. Short design. Fitted design. V-neck. Long sleeves. Tie closure at front.,"4, 6, 8","Available, Available, Available",,White
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/open-back-crochet-dress_17051222,17051222,Fine knit fabric. Crochet design. Short design. Straight design. Boat neck. Long flared sleeve. Back neckline. Back knot closure.,"4, 6, 8","Last Few Items, Last Few Items, Last Few Items",,Chocolate
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/open-back-crochet-dress_87067171,87067171,Crochet fabric. Floral embroidery. Short design. Straight design. Round neck. Sleeveless. Open back. No closure. Inner lining.,"4, 6, 8","Available, Available, Available",,Chocolate
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/open-back-knitted-dress_77039038,77039038,Fine knit fabric. Fitted design. Short design. Halter neck. Sleeveless. No closure. The model is 1.77 tall and is wearing a size 36. Party and ceremony collection.,"4, 6, 8","Not Available, Last Few Items, Last Few Items",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/perkins-neck-knitted-dress_87097184,87097184,Fine knit fabric. Straight design. Short design. Perkins collar. Sleeveless. No closure. Available in Plus.,"0, 2, 4, 6, 8, 10, 12","Not Available, Available, Available, Available, Available, Available, Not Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/perkins-neck-knitted-dress_87097184?c=32,87097184,Fine knit fabric. Straight design. Short design. Perkins collar. Sleeveless. No closure. Available in Plus.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Not Available, Available, Available, Available, Available, Available, Not Available, Last Few Items, Last Few Items, Last Few Items, Last Few Items",,Chocolate
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/printed-bow-dress_77060344,77060344,Fluid fabric. A-line design. Short design. V-neck. Three quarter sleeve with elastic cuffs. Tie closure. Frill detail. Available in Plus. Printed Design. Front button closure.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Not Available, Available, Available, Available, Not Available, Not Available, Not Available, Not Available, Not Available, Not Available, Not Available",,Lime
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/printed-dress-with-openings_67028648,67028648,Linen blend fabric. Straight design. Short design. Halter neck. Cut-out. Open back. Sleeveless. Bow fastening on the neck. Back zipper closure. Printed Design.,"2, 4, 6, 8","Not Available, Not Available, Not Available, Last Few Items",,Blue
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/printed-dress-with-turn-down-neckline_77040628,77040628,Fluid fabric. Short design. Strapless. Sleeveless. Thin Straps. Bow fastening on the neck. Inner lining. Multi-position suspenders. Printed fabric of Italian origin. Turn-down neckline. Fitted design.,"2, 4, 6, 8, 10","Last Few Items, Available, Not Available, Not Available, Not Available",,Green
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/ruffle-knit-dress_17021263,17021263,Fine knit fabric. Short design. A-line design. Low neckline. Sleeveless. Thin Straps. Maxi flounce. No closure.,"0, 2, 4, 6, 8, 10","Not Available, Available, Available, Available, Available, Not Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/semi-transparent-feather-dress_87020274,87020274,"We have combined two of the trends of the moment: transparencies and feathers. It has a lingerie-style inner piece that together with the chiffon layer with halter-neck detail becomes an elegant and original option for your most special events. Straight design. Short design. Turtleneck. Puffed sleeves. Bow fastening on the cuffs. Keyhole detail on the back with button fastening. Made in Portugal. Party and ceremony collection. Items from the CAPSULE collection can be exchanged or returned within 14 days from the date of shipment. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","2, 4, 6, 8, 10","Not Available, Not Available, Last Few Items, Not Available, Not Available",,Night Blue
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/sequin-embellishment-ruffle-dress_87000361,87000361,"Medium size. This strapless design with ruffle embellishments will accompany you on your most special nights so that you stand out with sophistication. Its short design and sequin fabric make it the perfect look for you to dazzle. Fabric with sequin. Stretch fabric. Tailored design. Short design. Maxi flounce. No closure. Made in Portugal. Party and ceremony collection. Items from the CAPSULE collection can be exchanged or returned within 14 days from the date of shipment. Back closure. Slim fit. Sleeveless. Lining only. Strapless. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","2, 4, 6, 8","Available, Available, Available, Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/sequined-halter-neck-dress_77039064,77039064,Fabric with sequin. Fitted design. Short design. Halter neck. Sleeveless. Keyhole detail on the back with button fastening. Inner lining. Party and ceremony collection. The model is 1.77 tall and is wearing a size 36. The model is 1.78 tall and is wearing a size 36.,"0, 2, 4, 6, 8, 10, 12","Not Available, Available, Available, Available, Not Available, Not Available, Not Available",,Burgundy
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-asymmetrical-sleeve-dress_87094090,87094090,Fluid fabric. Short design. A-line design. Turtleneck. Asymmetric sleeves. Short sleeve with ruffle. Back zipper closure.,"2, 4, 6, 8, 10","Available, Available, Available, Last Few Items, Not Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-balloon-effect-dress_87029068,87029068,Cotton fabric. Short design. Fitted design. Bubble hem. Strapless. Sleeveless. Bubble hem. Back zipper closure.,"2, 4, 6, 8","Available, Available, Available, Available",,Orange
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-balloon-effect-dress_87047181,87047181,Short design. Fitted design. Bubble hem. Round neck. Sleeveless. Wide straps. Bubble hem. Side zipper closure. Exclusive Online.,"4, 6, 8","Available, Available, Not Available",,Red
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-balloon-effect-gathered-dress_87035768,87035768,Party and ceremony collection. Short design. Bubble hem. Low neckline. Thin Straps. Runched detail in the neckline. Gathered detail at the waist. No closure. Inner lining.,"2, 4, 6, 8","Available, Available, Available, Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-belted-dress_87038652,87038652,Straight design. Short design. Fitted design. Boat neck. Short sleeve. Decorative belt. No closure.,"2, 4, 6, 8, 10","Available, Available, Available, Available, Available",,Pastel Pink
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-button-down-linen-blend-dress_87039065,87039065,Linen blend fabric. Short design. Fitted design. Boat neck. Two side welt pockets. Front button closure. Inner lining. Available in Plus.,"0, 2, 4, 6, 8, 10, 12","Not Available, Available, Available, Available, Available, Available, Not Available",,Ecru
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-button-down-linen-blend-dress_87039065?c=74,87039065,Linen blend fabric. Short design. Fitted design. Boat neck. Two side welt pockets. Front button closure. Inner lining. Available in Plus.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Last Few Items, Available, Available, Available, Available, Available, Not Available, Not Available, Last Few Items, Last Few Items, Not Available",,Strawberry
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-chiffon-combined-dress_87014425,87014425,"Cotton blend fabric. Short design. Fitted design. Strapless. Sleeveless. Side closure. Inner lining. Selection Collection. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","2, 4, 6, 8","Available, Available, Available, Available",,Ecru
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-combined-dress_87099208,87099208,Combined design. Short design. Fitted design. Boat neck. Sleeveless. Ruffle hem. No closure.,"0, 2, 4, 6, 8, 10, 12","Available, Available, Available, Available, Available, Available, Last Few Items",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-cut-out-dress-with-bows_87049067,87049067,Cotton fabric. Short design. Straight design. Low neckline. Sleeveless. Thin strap. Thin Straps. Side slits. Bow details on the sides. Back zipper closure.,"4, 6, 8","Available, Available, Available",,Sky Blue
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-dress-with-combined-design_87099209,87099209,100% cotton fabric. Fitted design. Short design. Upper body with striped print. Gathered detail. No closure.,"0, 2, 4, 6, 8, 10, 12","Available, Available, Available, Available, Available, Available, Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-dress-with-gathered-panels_87018656,87018656,Peak Lapel. Thin Strap. Short design. Straight design. V-neck. Sleeveless. Thin Straps. Gathered details. No closure.,"2, 4, 6, 8, 10","Available, Available, Available, Available, Available",,Navy
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-dress-with-wide-straps_87028653,87028653,Short design. Fitted design. Low neckline. Sleeveless. Wide straps. Dart detail. No closure.,"2, 4, 6, 8, 10","Available, Available, Available, Available, Available",,Off White
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-flared-dress_87009096,87009096,Short design. A-line design. Boat neck. Back neckline. Sleeveless. Wide straps. Back zipper closure. Inner lining.,"0, 2, 4, 6, 8, 10, 12","Available, Available, Available, Available, Available, Available, Available",,Red
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-flared-knitted-dress_87095762,87095762,"Short design. Peplum design. Perkins collar. Sleeveless. Button closure at the back. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","2, 4, 6, 8, 10","Available, Available, Available, Available, Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-floral-print-dress-with-ruffle-detail_87055766,87055766,"Chiffon fabric. Short design. Straight design. Floral print. Low neckline. Double thin straps. Frill detail. Side zipper closure. Inner lining. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","2, 4, 6, 8","Available, Available, Available, Available",,Ecru
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-floral-textured-dress_87069064,87069064,100% cotton fabric. Short design. A-line design. Fabric with floral texture. Low neckline. Sleeveless. Thin adjustable straps. Side zipper closure. Inner lining. Exclusive Online.,"4, 6, 8","Available, Available, Available",,White
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-knitted-dress-with-pleats_87074071,87074071,Fine knit fabric. Short design. A-line design. Patterned design. Round neck. Long sleeves. No closure.,"2, 4, 6, 8, 10","Available, Available, Available, Available, Last Few Items",,Ecru
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-knitted-turtleneck-dress_87040284,87040284,Medium knit. Short design. Straight design. Rolled neck. Long sleeves. The model is 1.77 tall and is wearing a size 36. The model is 1.78 tall and is wearing a size 36.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Not Available, Available, Available, Available, Available, Last Few Items, Not Available, Available, Last Few Items, Last Few Items, Last Few Items",,Khaki
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-knitted-turtleneck-dress_87040284?c=05,87040284,Medium knit. Short design. Straight design. Rolled neck. Long sleeves. The model is 1.77 tall and is wearing a size 36. The model is 1.78 tall and is wearing a size 36.,"0, 2, 4, 6, 8, 10, 12","Not Available, Last Few Items, Available, Available, Available, Last Few Items, Not Available",,Ecru
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-knitted-turtleneck-dress_87040284?c=94,87040284,Medium knit. Short design. Straight design. Rolled neck. Long sleeves. The model is 1.77 tall and is wearing a size 36. The model is 1.78 tall and is wearing a size 36.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Not Available, Available, Available, Available, Available, Last Few Items, Not Available, Available, Last Few Items, Last Few Items, Last Few Items",,Medium Heather Grey
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-peplum-knitted-dress_87084812,87084812,Fine knit fabric. Peplum design. Short design. Halter neck. Sleeveless. No closure.,"2, 4, 6, 8, 10","Available, Available, Available, Available, Available",,Maroon
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-pinstripe-dress_77095997,77095997,Pinstripe print. Round neck. Sleeveless. Invisible back zip fastening. Button closure at the back. Two welt pockets on the front. Dart detail. The model is 1.81 tall and is wearing a size 37. Short design. A-line design.,"0, 2, 4, 6, 8, 10, 12","Not Available, Available, Available, Available, Available, Not Available, Last Few Items",,Dark Navy
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-pleated-cotton-dress_17031271,17031271,Short design. Straight design. Low neckline. Sleeveless. Thin Straps. Decorative pleats at front. No closure. Exclusive Online.,"0, 2, 4, 6, 8, 10","Available, Available, Available, Available, Available, Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-pleated-linen-blend-dress_87009071,87009071,Linen and lyocell blend fabric. Short design. A-line design. Boat neck. Sleeveless. Wide straps. Pleats detail. Back zipper closure.,"0, 2, 4, 6, 8, 10, 12","Available, Available, Available, Available, Available, Available, Not Available",,Black
