URL,Reference,Description,Sizes,Inventory,Image,Color
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/shift-long-jumpsuit_17091246?c=09,17091246,Long design. Straight design. Low neckline. Sleeveless. Thin Straps. No closure.,"XS, S, M, L, XL","Available, Available, Available, Available, Available",,Medium Brown
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/short-sleeved-tweed-jumpsuit_87070595,87070595,"Tweed fabric. Straight design. Short design. V-neck. Short sleeve. Two welt pockets on the front. Two patch pockets at chest. Button Closure at the Front. Inner lining. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","XS, S, M, L, XL","Last Few Items, Available, Available, Available, Last Few Items",,Ecru
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/straight-denim-dungarees_87087180,87087180,Denim-style cotton fabric. Long design. Straight design. Straight neckline. Sleeveless. Adjustable straps. Belt loops. Two side pockets. Side button fastening.,"XS, S, M, L","Available, Available, Available, Available",,Medium Blue
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/straight-fit-jumpsuit-with-belt_87075744,87075744,Straight design. Long design. Shirt Collar. Sleeveless. Nightgown-style belt. Two side pockets. Front closure with hidden buttons and placket. Available in Plus.,"XXS, XS, S, M, L, XL, XXL, 1XL, 2XL, 3XL, 4XL","Last Few Items, Last Few Items, Available, Available, Available, Not Available, Not Available, Not Available, Last Few Items, Last Few Items, Last Few Items",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/straight-fit-jumpsuit-with-draped-neckline_87075765,87075765,Long design. Straight design. Perkins collar. Sleeveless. Draped neck. Gathered detail at the waist. Back zipper closure.,"XS, S, M, L, XL","Available, Available, Available, Last Few Items, Last Few Items",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/straight-fit-linen-jumpsuit_87040590,87040590,100% Cotton. Linen blend fabric. Lightweight fabric. Straight design. Crop design. Low neckline. Wide straps. Inner lining. Pleated design. Short sleeve. Side closure. Unlined. Round neck.,"XS, S, M, L, XL","Available, Last Few Items, Not Available, Last Few Items, Not Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/straight-fit-linen-jumpsuit_87040590?c=43,87040590,100% Cotton. Linen blend fabric. Lightweight fabric. Straight design. Crop design. Low neckline. Wide straps. Inner lining. Pleated design. Short sleeve. Side closure. Unlined. Round neck.,"XS, S, M, L, XL","Not Available, Not Available, Last Few Items, Not Available, Not Available",,Green
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/straight-fit-short-sleeved-jumpsuit-with-belt_87077907,87077907,Long design. Straight design. Round neck. Short sleeve. Belt loops. Belt buckle fastening. Button closure at the back. Available in Plus.,"XXS, XS, S, M, L, XL, XXL, 1XL, 2XL, 3XL, 4XL","Last Few Items, Available, Available, Available, Available, Available, Last Few Items, Last Few Items, Available, Last Few Items, Last Few Items",,Fuchsia
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/straight-fit-short-sleeved-jumpsuit-with-belt_87077907?c=05,87077907,Long design. Straight design. Round neck. Short sleeve. Belt loops. Belt buckle fastening. Button closure at the back. Available in Plus.,"XS, S, M, L, XL","Available, Available, Available, Available, Available",,Ecru
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/strapless-jumpsuit-with-bow-neckline_17031265,17031265,"This jumpsuit is the embodiment of modern elegance, featuring a voluminous bow on the neckline that adds a distinctive and sophisticated touch. The slightly flared pants offer a classic and fluid style, while the internal corset ensures a comfortable and flattering fit, making this garment the ideal choice to stand out with style. Long design. Fitted design. Strapless. Sleeveless. Maxi-bow detail on the neckline. Side zipper closure. Inner lining. Items from the CAPSULE collection can be exchanged or returned within 14 days from the date of shipment.","XS, S, M, L","Available, Available, Available, Available",,Pastel Pink
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/strapless-jumpsuit-with-puffed-hem_87067905,87067905,Wool mix fabric. Long design. Straight design. Strapless. Runched detail in the neckline. Bubble hem. No closure. Selection Collection.,"S, M, L","Available, Available, Available",,Beige
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/striped-combined-knitted-jumpsuit_87077895,87077895,Combined fabric. Knitted fabric. Linen blend fabric. Long design. Combined design. Straight design. Low neckline. Sleeveless. Thin Straps. Belt loops. Two side pockets. Striped print. No closure.,"XXS, XS, S, M, L, XL, XXL","Last Few Items, Available, Available, Available, Available, Available, Not Available",,Off White
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/structured-fitted-jumpsuit-with-sweetheart-neckline_87085987,87085987,"This jumpsuit redefines elegance with its fitted silhouette that hugs the figure, creating a streamlined and sophisticated look. The structured sweetheart neckline adds a romantic and distinctive touch, making this piece a perfect choice for those looking for a look that combines sensuality and class on any special occasion. Elastic fabric. Fitted design. Long design. Low neckline. Structured neckline. Sweetheart neckline. Thin Straps. Open back. No closure. Inner lining. Party and ceremony collection. Made in Portugal. Items from the CAPSULE collection can be exchanged or returned within 14 days from the date of shipment. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","XS, S, M, L","Available, Available, Available, Last Few Items",,Black
